hpcd,mdc6,value
20034,50050,5668
30012,50050,4090
2999,20110,3768
31341,50050,2811
1326,20110,2788
30006,40040,2744
2798,20110,2608
2909,20110,2505
1348,40040,2501
27,10230,2380
30568,80000,2199
20134,50050,2098
20052,40040,2054
30339,50050,2017
3127,60100,2002
31142,20110,1943
30121,90010,1939
2663,20110,1890
20078,40040,1885
30883,20110,1873
30465,50050,1869
2300,20110,1860
1805,20110,1814
30488,50050,1804
3091,20110,1803
2703,20110,1798
31071,40040,1786
20057,50050,1768
30120,40040,1758
2803,20110,1753
30364,40040,1743
2749,60100,1736
10034,40040,1732
944,60100,1702
2496,60100,1640
30120,50050,1610
31447,50050,1585
20055,50050,1558
1801,60220,1547
30267,40040,1517
30732,50050,1509
31211,40040,1453
31468,50050,1430
31473,90010,1429
10056,20110,1412
20043,90010,1408
30322,50050,1400
30905,140010,1398
31402,90010,1379
2945,20110,1372
90198,50050,1365
2360,90010,1360
31345,90010,1349
20112,50050,1342
20043,40040,1334
10020,40040,1322
30249,50070,1322
3066,60100,1313
20108,40040,1308
30763,40040,1281
1977,20110,1256
30465,50070,1249
1577,60100,1246
30894,140010,1245
31477,50050,1243
10073,40040,1221
10006,20110,1213
20078,12002x,1213
90117,50050,1212
31253,90010,1209
20060,50050,1205
1843,20110,1200
31341,50070,1198
10020,20110,1191
30127,60100,1191
31395,120260,1188
268,100000,1188
30427,20110,1170
20112,50070,1162
20052,60010,1151
30365,60100,1150
30883,50050,1140
30123,180040,1131
31147,60100,1131
559,60100,1120
1347,40040,1116
30120,60100,1116
10033,20110,1107
30570,40040,1104
31345,40040,1098
20043,12002x,1096
30941,40040,1089
30190,20110,1081
30253,40040,1081
10058,20110,1080
30249,50050,1077
30281,60100,1070
30983,60035,1069
90201,50050,1068
20139,50050,1066
30538,40040,1066
20082,40040,1062
20006,40040,1057
1398,60100,1056
3072,20110,1052
20052,03001x,1047
20041,40040,1046
20123,50050,1046
30547,60035,1045
20043,60020,1043
336,50050,1041
10039,40040,1032
20108,06007x,1031
31242,20110,1031
1801,60235,1026
20026,40040,1025
30883,60100,1018
10005,40040,1006
10038,20110,1006
20095,50050,1003
20146,40040,1001
10024,40040,1000
2749,60035,998
30038,40040,998
10074,40040,997
30120,50070,991
3158,20110,990
20052,06007x,989
3021,20110,988
510,50050,986
20106,40040,984
30120,60050,984
10061,40040,983
30465,50080,981
20027,20110,978
30364,60010,978
10007,40040,977
20027,40040,976
324,60100,973
90111,60100,972
90133,40040,969
30413,100020,961
10012,20110,958
10054,40040,957
90101,60010,954
