hpcd,mdc6,ope,value
2999,20110,97,3768
20034,50050,99,3200
1326,20110,97,2788
2798,20110,97,2608
2909,20110,97,2494
20034,50050,2,2359
1348,40040,99,2309
27,10230,99,2308
30006,40040,99,2294
30012,50050,2,2224
30568,80000,0,2199
3127,60100,1,2002
31142,20110,97,1943
2663,20110,97,1890
30883,20110,97,1873
2300,20110,97,1860
1805,20110,97,1814
3091,20110,97,1803
2703,20110,97,1798
2803,20110,97,1753
30012,50050,99,1735
2749,60100,1,1717
31341,50050,99,1690
1801,60220,97,1547
30121,90010,99,1532
10034,40040,99,1484
30120,40040,99,1480
31071,40040,99,1476
20078,40040,99,1452
10056,20110,97,1412
20134,50050,99,1392
2945,20110,97,1372
3066,60100,1,1313
30267,40040,99,1276
1977,20110,97,1256
944,60100,1,1241
30905,140010,99,1233
2496,60100,1,1230
31211,40040,99,1229
10006,20110,97,1213
1843,20110,97,1200
10020,20110,97,1191
268,100000,0,1188
20052,40040,99,1187
30364,40040,99,1174
30427,20110,97,1170
30127,60100,1,1166
30249,50070,1,1158
20057,50050,99,1131
31147,60100,1,1131
2360,90010,99,1121
10033,20110,97,1107
30488,50050,99,1090
30190,20110,97,1081
10058,20110,97,1080
30123,180040,97,1065
30120,50050,99,1059
30339,50050,99,1054
3072,20110,97,1052
10020,40040,99,1044
31341,50050,2,1034
31341,50070,1,1033
31242,20110,97,1031
1801,60235,97,1026
31447,50050,99,1022
1347,40040,99,1021
30120,60100,1,1021
10073,40040,99,1018
31468,50050,99,1017
30281,60100,1,1016
10038,20110,97,1006
30894,140010,99,999
31345,90010,99,996
30365,60100,1,994
3158,20110,97,990
3021,20110,97,988
20027,20110,97,978
2749,60035,99,961
10012,20110,97,958
30253,40040,99,952
31402,90010,99,950
20024,20110,97,949
20108,40040,99,938
90117,50050,99,938
324,60100,1,931
30465,50070,1,924
30339,50050,2,923
30389,20110,97,923
30941,40040,99,922
30310,20110,97,917
90033,70470,99,909
30362,20110,97,900
20121,20110,97,899
30349,07040x,1,898
1577,60100,1,897
31345,40040,99,897
30322,50050,99,893
30782,20110,97,887
10016,20110,97,886
20043,40040,99,881
30883,60100,1,880
10029,20110,97,878
20103,20110,97,876
90111,60100,1,876
30465,50050,99,875
20078,12002x,99,873
30732,50050,99,873
20027,50070,1,868
20052,40040,97,867
20055,50050,99,867
30763,40040,99,867
31403,60100,1,867
20123,20110,97,865
10057,20110,97,860
20088,20110,97,860
20006,40040,99,858
20152,50070,1,853
90133,40040,99,844
90202,40130,99,843
90198,50050,99,837
30465,50050,2,836
20112,50050,99,827
30570,40040,99,819
10031,70560,99,818
10061,40040,99,818
31253,90010,99,816
2849,140010,99,812
2999,20210,97,812
20031,20110,97,812
3141,60100,1,810
30934,140010,99,807
2230,40000,0,801
10039,40040,99,795
30373,60235,97,791
30485,40040,99,787
20146,40040,99,784
30498,40000,0,784
20082,40040,99,783
30038,40040,99,782
10033,40040,99,781
1076,100020,1,779
10005,40040,99,776
2929,100000,0,774
20041,40040,99,772
31477,50050,99,772
90239,20110,97,771
20027,40040,99,769
10007,40040,99,768
1398,60100,1,767
30765,40040,99,767
2965,20110,97,766
31026,20110,97,766
10053,20110,97,765
90204,11012x,4,763
10019,30000,0,763
20075,40040,99,760
31068,20110,97,759
30084,40040,99,757
31180,40040,99,756
31033,10060,99,754
10055,20110,97,751
510,50050,99,748
30962,60100,1,746
10035,20110,97,744
20026,40040,99,744
30475,40040,99,743
30061,140010,99,742
30478,60100,1,740
20046,40040,99,739
31343,40040,99,739
30983,60035,4,738
10063,20110,97,734
30883,50050,99,733
30822,40040,99,731
10074,40040,99,730
30551,20110,97,730
20106,140010,99,728
30759,20110,97,727
30835,20110,97,726
30413,100020,1,724
2209,180040,97,723
10037,20110,97,722
10046,40040,99,722
30995,20110,97,721
1777,70470,99,720
30547,60035,99,719
20112,10060,99,715
30503,30000,0,715
10054,40040,99,714
20106,40040,99,714
30499,20110,97,714
90201,50050,2,714
31241,20110,97,710
20057,50070,1,708
1859,20110,97,707
10022,20110,97,706
30325,20110,97,704
31179,20110,97,704
10056,60100,1,702
30482,140010,99,702
30488,50050,2,702
20001,20110,97,701
30533,20110,97,700
10028,40040,99,699
2976,20110,97,698
31473,90010,99,697
10029,40040,99,696
544,60235,97,693
20044,60100,1,692
20055,50050,2,691
30373,60220,97,691
10016,100000,0,691
30991,20110,97,690
20024,40040,99,689
30989,20110,97,689
10013,20110,97,688
10047,20110,97,688
31146,60100,1,684
544,60220,97,683
10034,20110,97,683
20128,60100,1,682
30760,20110,97,682
559,60100,99,680
20086,40040,99,680
31033,10000,0,680
10046,20110,97,678
336,50050,2,677
10026,40040,99,677
20134,50050,2,677
30788,40000,0,677
2321,20110,97,676
20084,20110,97,676
20132,40040,99,676
20023,40040,99,675
20122,40040,99,675
1314,30000,0,675
30565,120060,2,673
31395,120260,2,673
90082,20110,97,673
90169,70230,1,673
10011,50070,1,671
10027,20110,97,671
20043,90010,1,670
30210,40040,99,669
2264,70470,99,668
20036,60100,1,666
20057,20110,97,666
10075,40040,99,665
30058,20110,97,665
30498,40040,99,662
31138,50050,2,662
30279,40040,99,661
20052,60010,99,659
20053,40040,99,659
20122,20110,97,658
30961,20110,97,656
30552,40040,99,655
336,50070,1,654
30759,40040,99,654
30061,20110,97,653
20111,20110,97,650
30538,40040,99,649
20147,40040,99,647
20139,50050,99,646
20112,50070,1,645
261,10230,99,644
20036,40040,99,643
20085,40040,99,643
30895,40040,99,642
10048,40040,99,641
31142,120060,2,641
31287,60035,99,641
30063,40040,99,640
1213,60100,1,638
30058,40040,99,638
20095,50050,2,636
30732,50050,2,636
30318,10060,99,635
1348,40000,0,634
10062,40040,99,632
20083,20110,97,631
10031,20110,97,630
20121,40040,99,630
30249,50050,99,630
30956,20110,97,630
20030,20110,97,629
30030,60100,1,629
10013,40040,99,628
10078,40040,99,627
20108,12002x,99,627
30138,40040,99,627
31043,20110,97,627
31253,40040,99,627
20035,40040,99,626
20057,50050,2,626
20108,06007x,99,626
10001,40040,99,624
30095,60100,1,624
20048,40040,99,623
30914,40040,99,623
30990,60100,1,623
31088,40040,99,622
20109,40040,99,621
30056,20110,97,621
30747,40040,99,621
31460,40040,99,621
30439,60100,1,620
30902,140010,99,620
1908,60100,1,619
20051,110080,99,619
30062,60100,1,619
2405,140010,99,617
31186,60100,1,616
30290,40040,99,613
313,20110,97,611
31080,20110,97,611
10060,20110,97,610
31087,50050,2,609
31408,20110,97,609
10050,20110,97,608
30002,40040,99,608
20003,60100,1,607
20055,40040,99,606
10028,20110,97,604
10023,40040,99,603
20123,50130,99,603
30490,20110,97,603
31157,60100,1,603
30254,20110,97,602
